Amsterdam,Pamplona,7
Amsterdam,Wilno,12
Angora,Kharkov,10
Athina,Angora,5
Athina,Wilno,11
Barcelona,Bruxelles,8
Barcelona,Munchen,8
Berlin,Bucuresti,8
Berlin,Moskava,12
Berlin,Roma,9
Brest,Marseille,7
Brest,Venezia,8
Bruxelles,Danzic,9
Budapest,Sofia,5
Edinburch,Paris,7
Erzurum,Rostov,5
Essen,Kyiv,10
Frankfurt,Kobenhavn,5
Frankfurt,Smolensk,13
Kyiv,Petrograd,6
Kyiv,Sochi,8
London,Berlin,7
London,Wien,10
Madrid,Dieppe,8
Madrid,Zurich,8
Marseille,Essen,8
Palermo,Constantinople,8
Paris,Wien,8
Paris,Zacrab,7
Rica,Bucuresti,10
Roma,Smyrna,8
Sarajevo,Sevastopol,8
Smolensk,Rostov,8
Sofia,Smyrna,5
Stockholm,Wien,11
Venezia,Constantinople,10
Warszawa,Smolensk,6
Zacrab,Brindisi,6
Zurich,Budapest,6
Zurich,Brindisi,6
